160, 87, 224, 33
368, 120, 16, 33
448, 87, 224, 33
448, 120, 16, 33
160, 184, 512, 32
256, 120, 32, 32
544, 120, 32, 32
-4, 184, 68, 32
768, 184, 68, 32
12, 264, 148, 18
64, 282, 96, 14
672, 264, 148, 18
672, 282, 96, 14
-4, 360, 230, 16
64, 376, 162, 16
606, 360, 230, 16
606, 376, 162, 16
224, 296, 96, 32
288, 328, 32, 64
320, 360, 224, 32
384, 280, 64, 38
512, 296, 32, 96
544, 296, 64, 32
160, 424, 32, 16
224, 424, 384, 16
640, 424, 32, 16
369, 216, 94, 16
176, 474, 16, 110
224, 474, 16, 62
192, 568, 192, 16
240, 520, 352, 16
592, 474, 16, 62
368, 584, 16, 16
448, 568, 16, 32
448, 568, 192, 16
-4, 87, 164, 16
672, 87, 164, 16
640, 474, 16, 110
